code_id,code_type,code_name,description
10001,District,강남구,
10002,District,강동구,
10003,District,강북구,
10004,District,강서구,
10005,District,관악구,
10006,District,광진구,
10007,District,구로구,
10008,District,금천구,
10009,District,노원구,
10010,District,도봉구,
10011,District,동대문구,
10012,District,동작구,
10013,District,마포구,
10014,District,서대문구,
10015,District,서초구,
10016,District,성동구,
10017,District,성북구,
10018,District,송파구,
10019,District,양천구,
10020,District,영등포구,
10021,District,용산구,
10022,District,은평구,
10023,District,종로구,
10024,District,중구,
10025,District,중랑구,
20001,Neighborhood,가락1동,
20002,Neighborhood,가락2동,
20003,Neighborhood,가락동,
20004,Neighborhood,가락본동,
20005,Neighborhood,가리봉동,
20006,Neighborhood,가산동,
20007,Neighborhood,가양동,
20008,Neighborhood,가양제1동,
20009,Neighborhood,가양제2동,
20010,Neighborhood,가양제3동,
20011,Neighborhood,가회동,
20012,Neighborhood,갈월동,
20013,Neighborhood,갈현동,
20014,Neighborhood,갈현제1동,
20015,Neighborhood,갈현제2동,
20016,Neighborhood,강일동,
20017,Neighborhood,개봉동,
20018,Neighborhood,개봉제1동,
20019,Neighborhood,개봉제2동,
20020,Neighborhood,개봉제3동,
20021,Neighborhood,개포1동,
20022,Neighborhood,개포2동,
20023,Neighborhood,개포4동,
20024,Neighborhood,개포동,
20025,Neighborhood,개화동,
20026,Neighborhood,거여1동,
20027,Neighborhood,거여2동,
20028,Neighborhood,거여동,
20029,Neighborhood,견지동,
20030,Neighborhood,경운동,
20031,Neighborhood,계동,
20032,Neighborhood,고덕동,
20033,Neighborhood,고덕제1동,
20034,Neighborhood,고덕제2동,
20035,Neighborhood,고척동,
20036,Neighborhood,고척제1동,
20037,Neighborhood,고척제2동,
20038,Neighborhood,공덕동,
20039,Neighborhood,공릉1동,
20040,Neighborhood,공릉2동,
20041,Neighborhood,공릉동,
20042,Neighborhood,공평동,
20043,Neighborhood,공항동,
20044,Neighborhood,과해동,
20045,Neighborhood,관수동,
20046,Neighborhood,관철동,
20047,Neighborhood,관훈동,
20048,Neighborhood,광장동,
20049,Neighborhood,광희동,
20050,Neighborhood,광희동1가,
20051,Neighborhood,광희동2가,
20052,Neighborhood,교남동,
20053,Neighborhood,교북동,
20054,Neighborhood,구기동,
20055,Neighborhood,구로동,
20056,Neighborhood,구로제1동,
20057,Neighborhood,구로제2동,
20058,Neighborhood,구로제3동,
20059,Neighborhood,구로제4동,
20060,Neighborhood,구로제5동,
20061,Neighborhood,구산동,
20062,Neighborhood,구수동,
20063,Neighborhood,구의동,
20064,Neighborhood,구의제1동,
20065,Neighborhood,구의제2동,
20066,Neighborhood,구의제3동,
20067,Neighborhood,군자동,
20068,Neighborhood,궁동,
20069,Neighborhood,궁정동,
20070,Neighborhood,권농동,
20071,Neighborhood,금호1가동,
20072,Neighborhood,금호2.3가동,
20073,Neighborhood,금호4가동,
20074,Neighborhood,금호동1가,
20075,Neighborhood,금호동2가,
20076,Neighborhood,금호동3가,
20077,Neighborhood,금호동4가,
20078,Neighborhood,길동,
20079,Neighborhood,길음동,
20080,Neighborhood,길음제1동,
20081,Neighborhood,길음제2동,
20082,Neighborhood,낙성대동,
20083,Neighborhood,낙원동,
20084,Neighborhood,난곡동,
20085,Neighborhood,난향동,
20086,Neighborhood,남가좌동,
20087,Neighborhood,남가좌제1동,
20088,Neighborhood,남가좌제2동,
20089,Neighborhood,남대문로1가,
20090,Neighborhood,남대문로2가,
20091,Neighborhood,남대문로3가,
20092,Neighborhood,남대문로4가,
20093,Neighborhood,남대문로5가,
20094,Neighborhood,남산동1가,
20095,Neighborhood,남산동2가,
20096,Neighborhood,남산동3가,
20097,Neighborhood,남영동,
20098,Neighborhood,남창동,
20099,Neighborhood,남학동,
20100,Neighborhood,남현동,
20101,Neighborhood,내곡동,
20102,Neighborhood,내발산동,
20103,Neighborhood,내수동,
20104,Neighborhood,내자동,
20105,Neighborhood,냉천동,
20106,Neighborhood,노고산동,
20107,Neighborhood,노량진동,
20108,Neighborhood,노량진제1동,
20109,Neighborhood,노량진제2동,
20110,Neighborhood,녹번동,
20111,Neighborhood,논현1동,
20112,Neighborhood,논현2동,
20113,Neighborhood,논현동,
20114,Neighborhood,누상동,
20115,Neighborhood,누하동,
20116,Neighborhood,능동,
20117,Neighborhood,다동,
20118,Neighborhood,다산동,
20119,Neighborhood,답십리동,
20120,Neighborhood,답십리제1동,
20121,Neighborhood,답십리제2동,
20122,Neighborhood,당산동,
20123,Neighborhood,당산동1가,
20124,Neighborhood,당산동2가,
20125,Neighborhood,당산동3가,
20126,Neighborhood,당산동4가,
20127,Neighborhood,당산동5가,
20128,Neighborhood,당산동6가,
20129,Neighborhood,당산제1동,
20130,Neighborhood,당산제2동,
20131,Neighborhood,당인동,
20132,Neighborhood,당주동,
20133,Neighborhood,대림동,
20134,Neighborhood,대림제1동,
20135,Neighborhood,대림제2동,
20136,Neighborhood,대림제3동,
20137,Neighborhood,대방동,
20138,Neighborhood,대신동,
20139,Neighborhood,대조동,
20140,Neighborhood,대치1동,
20141,Neighborhood,대치2동,
20142,Neighborhood,대치4동,
20143,Neighborhood,대치동,
20144,Neighborhood,대학동,
20145,Neighborhood,대현동,
20146,Neighborhood,대흥동,
20147,Neighborhood,도곡1동,
20148,Neighborhood,도곡2동,
20149,Neighborhood,도곡동,
20150,Neighborhood,도렴동,
20151,Neighborhood,도림동,
20152,Neighborhood,도봉동,
20153,Neighborhood,도봉제1동,
20154,Neighborhood,도봉제2동,
20155,Neighborhood,도선동,
20156,Neighborhood,도원동,
20157,Neighborhood,도화동,
20158,Neighborhood,독산동,
20159,Neighborhood,독산제1동,
20160,Neighborhood,독산제2동,
20161,Neighborhood,독산제3동,
20162,Neighborhood,독산제4동,
20163,Neighborhood,돈암동,
20164,Neighborhood,돈암제1동,
20165,Neighborhood,돈암제2동,
20166,Neighborhood,돈의동,
20167,Neighborhood,동교동,
20168,Neighborhood,동빙고동,
20169,Neighborhood,동선동,
20170,Neighborhood,동선동1가,
20171,Neighborhood,동선동2가,
20172,Neighborhood,동선동3가,
20173,Neighborhood,동선동4가,
20174,Neighborhood,동선동5가,
20175,Neighborhood,동소문동1가,
20176,Neighborhood,동소문동2가,
20177,Neighborhood,동소문동3가,
20178,Neighborhood,동소문동4가,
20179,Neighborhood,동소문동5가,
20180,Neighborhood,동소문동6가,
20181,Neighborhood,동소문동7가,
20182,Neighborhood,동숭동,
20183,Neighborhood,동자동,
20184,Neighborhood,동작동,
20185,Neighborhood,동화동,
20186,Neighborhood,둔촌동,
20187,Neighborhood,둔촌제1동,
20188,Neighborhood,둔촌제2동,
20189,Neighborhood,등촌동,
20190,Neighborhood,등촌제1동,
20191,Neighborhood,등촌제2동,
20192,Neighborhood,등촌제3동,
20193,Neighborhood,마곡동,
20194,Neighborhood,마장동,
20195,Neighborhood,마천1동,
20196,Neighborhood,마천2동,
20197,Neighborhood,마천동,
20198,Neighborhood,마포동,
20199,Neighborhood,만리동1가,
20200,Neighborhood,만리동2가,
20201,Neighborhood,망우동,
20202,Neighborhood,망우본동,
20203,Neighborhood,망우제3동,
20204,Neighborhood,망원동,
20205,Neighborhood,망원제1동,
20206,Neighborhood,망원제2동,
20207,Neighborhood,면목동,
20208,Neighborhood,면목본동,
20209,Neighborhood,면목제2동,
20210,Neighborhood,면목제3.8동,
20211,Neighborhood,면목제4동,
20212,Neighborhood,면목제5동,
20213,Neighborhood,면목제7동,
20214,Neighborhood,명동,
20215,Neighborhood,명동1가,
20216,Neighborhood,명동2가,
20217,Neighborhood,명륜1가,
20218,Neighborhood,명륜2가,
20219,Neighborhood,명륜3가,
20220,Neighborhood,명륜4가,
20221,Neighborhood,명일동,
20222,Neighborhood,명일제1동,
20223,Neighborhood,명일제2동,
20224,Neighborhood,목1동,
20225,Neighborhood,목2동,
20226,Neighborhood,목3동,
20227,Neighborhood,목4동,
20228,Neighborhood,목5동,
20229,Neighborhood,목동,
20230,Neighborhood,묘동,
20231,Neighborhood,무교동,
20232,Neighborhood,무악동,
20233,Neighborhood,무학동,
20234,Neighborhood,묵동,
20235,Neighborhood,묵정동,
20236,Neighborhood,묵제1동,
20237,Neighborhood,묵제2동,
20238,Neighborhood,문래동,
20239,Neighborhood,문래동1가,
20240,Neighborhood,문래동2가,
20241,Neighborhood,문래동3가,
20242,Neighborhood,문래동4가,
20243,Neighborhood,문래동5가,
20244,Neighborhood,문래동6가,
20245,Neighborhood,문배동,
20246,Neighborhood,문정1동,
20247,Neighborhood,문정2동,
20248,Neighborhood,문정동,
20249,Neighborhood,미근동,
20250,Neighborhood,미성동,
20251,Neighborhood,미아동,
20252,Neighborhood,반포1동,
20253,Neighborhood,반포2동,
20254,Neighborhood,반포3동,
20255,Neighborhood,반포4동,
20256,Neighborhood,반포동,
20257,Neighborhood,반포본동,
20258,Neighborhood,발산제1동,
20259,Neighborhood,방배1동,
20260,Neighborhood,방배2동,
20261,Neighborhood,방배3동,
20262,Neighborhood,방배4동,
20263,Neighborhood,방배동,
20264,Neighborhood,방배본동,
20265,Neighborhood,방산동,
20266,Neighborhood,방이1동,
20267,Neighborhood,방이2동,
20268,Neighborhood,방이동,
20269,Neighborhood,방학동,
20270,Neighborhood,방학제1동,
20271,Neighborhood,방학제2동,
20272,Neighborhood,방학제3동,
20273,Neighborhood,방화동,
20274,Neighborhood,방화제1동,
20275,Neighborhood,방화제2동,
20276,Neighborhood,방화제3동,
20277,Neighborhood,번1동,
20278,Neighborhood,번2동,
20279,Neighborhood,번3동,
20280,Neighborhood,번동,
20281,Neighborhood,보광동,
20282,Neighborhood,보라매동,
20283,Neighborhood,보문동,
20284,Neighborhood,보문동1가,
20285,Neighborhood,보문동2가,
20286,Neighborhood,보문동3가,
20287,Neighborhood,보문동4가,
20288,Neighborhood,보문동5가,
20289,Neighborhood,보문동6가,
20290,Neighborhood,보문동7가,
20291,Neighborhood,본동,
20292,Neighborhood,봉래동1가,
20293,Neighborhood,봉래동2가,
20294,Neighborhood,봉원동,
20295,Neighborhood,봉익동,
20296,Neighborhood,봉천동,
20297,Neighborhood,부암동,
20298,Neighborhood,북가좌동,
20299,Neighborhood,북가좌제1동,
20300,Neighborhood,북가좌제2동,
20301,Neighborhood,북아현동,
20302,Neighborhood,북창동,
20303,Neighborhood,불광동,
20304,Neighborhood,불광제1동,
20305,Neighborhood,불광제2동,
20306,Neighborhood,사간동,
20307,Neighborhood,사근동,
20308,Neighborhood,사당동,
20309,Neighborhood,사당제1동,
20310,Neighborhood,사당제2동,
20311,Neighborhood,사당제3동,
20312,Neighborhood,사당제4동,
20313,Neighborhood,사당제5동,
20314,Neighborhood,사직동,
20315,Neighborhood,산림동,
20316,Neighborhood,산천동,
20317,Neighborhood,삼각동,
20318,Neighborhood,삼각산동,
20319,Neighborhood,삼선동,
20320,Neighborhood,삼선동1가,
20321,Neighborhood,삼선동2가,
20322,Neighborhood,삼선동3가,
20323,Neighborhood,삼선동4가,
20324,Neighborhood,삼선동5가,
20325,Neighborhood,삼성1동,
20326,Neighborhood,삼성2동,
20327,Neighborhood,삼성동,
20328,Neighborhood,삼양동,
20329,Neighborhood,삼전동,
20330,Neighborhood,삼청동,
20331,Neighborhood,상계10동,
20332,Neighborhood,상계1동,
20333,Neighborhood,상계2동,
20334,Neighborhood,상계3.4동,
20335,Neighborhood,상계5동,
20336,Neighborhood,상계6.7동,
20337,Neighborhood,상계8동,
20338,Neighborhood,상계9동,
20339,Neighborhood,상계동,
20340,Neighborhood,상도1동,
20341,Neighborhood,상도동,
20342,Neighborhood,상도제1동,
20343,Neighborhood,상도제2동,
20344,Neighborhood,상도제3동,
20345,Neighborhood,상도제4동,
20346,Neighborhood,상봉동,
20347,Neighborhood,상봉제1동,
20348,Neighborhood,상봉제2동,
20349,Neighborhood,상수동,
20350,Neighborhood,상암동,
20351,Neighborhood,상왕십리동,
20352,Neighborhood,상월곡동,
20353,Neighborhood,상일동,
20354,Neighborhood,서강동,
20355,Neighborhood,서계동,
20356,Neighborhood,서교동,
20357,Neighborhood,서린동,
20358,Neighborhood,서림동,
20359,Neighborhood,서빙고동,
20360,Neighborhood,서소문동,
20361,Neighborhood,서원동,
20362,Neighborhood,서초1동,
20363,Neighborhood,서초2동,
20364,Neighborhood,서초3동,
20365,Neighborhood,서초4동,
20366,Neighborhood,서초동,
20367,Neighborhood,석관동,
20368,Neighborhood,석촌동,
20369,Neighborhood,성내동,
20370,Neighborhood,성내제1동,
20371,Neighborhood,성내제2동,
20372,Neighborhood,성내제3동,
20373,Neighborhood,성북동,
20374,Neighborhood,성북동1가,
20375,Neighborhood,성산동,
20376,Neighborhood,성산제1동,
20377,Neighborhood,성산제2동,
20378,Neighborhood,성수1가제1동,
20379,Neighborhood,성수1가제2동,
20380,Neighborhood,성수2가제1동,
20381,Neighborhood,성수2가제3동,
20382,Neighborhood,성수동1가,
20383,Neighborhood,성수동2가,
20384,Neighborhood,성현동,
20385,Neighborhood,세곡동,
20386,Neighborhood,세종로,
20387,Neighborhood,소격동,
20388,Neighborhood,소공동,
20389,Neighborhood,송월동,
20390,Neighborhood,송정동,
20391,Neighborhood,송중동,
20392,Neighborhood,송천동,
20393,Neighborhood,송파1동,
20394,Neighborhood,송파2동,
20395,Neighborhood,송파동,
20396,Neighborhood,송현동,
20397,Neighborhood,수궁동,
20398,Neighborhood,수색동,
20399,Neighborhood,수서동,
20400,Neighborhood,수송동,
20401,Neighborhood,수유1동,
20402,Neighborhood,수유2동,
20403,Neighborhood,수유3동,
20404,Neighborhood,수유동,
20405,Neighborhood,수표동,
20406,Neighborhood,수하동,
20407,Neighborhood,순화동,
20408,Neighborhood,숭인동,
20409,Neighborhood,숭인제1동,
20410,Neighborhood,숭인제2동,
20411,Neighborhood,시흥동,
20412,Neighborhood,시흥제1동,
20413,Neighborhood,시흥제2동,
20414,Neighborhood,시흥제3동,
20415,Neighborhood,시흥제4동,
20416,Neighborhood,시흥제5동,
20417,Neighborhood,신계동,
20418,Neighborhood,신공덕동,
20419,Neighborhood,신교동,
20420,Neighborhood,신길동,
20421,Neighborhood,신길제1동,
20422,Neighborhood,신길제3동,
20423,Neighborhood,신길제4동,
20424,Neighborhood,신길제5동,
20425,Neighborhood,신길제6동,
20426,Neighborhood,신길제7동,
20427,Neighborhood,신내1동,
20428,Neighborhood,신내2동,
20429,Neighborhood,신내동,
20430,Neighborhood,신당동,
20431,Neighborhood,신당제5동,
20432,Neighborhood,신대방동,
20433,Neighborhood,신대방제1동,
20434,Neighborhood,신대방제2동,
20435,Neighborhood,신도림동,
20436,Neighborhood,신림동,
20437,Neighborhood,신문로1가,
20438,Neighborhood,신문로2가,
20439,Neighborhood,신사동,
20440,Neighborhood,신사제1동,
20441,Neighborhood,신사제2동,
20442,Neighborhood,신설동,
20443,Neighborhood,신수동,
20444,Neighborhood,신영동,
20445,Neighborhood,신원동,
20446,Neighborhood,신월1동,
20447,Neighborhood,신월2동,
20448,Neighborhood,신월3동,
20449,Neighborhood,신월4동,
20450,Neighborhood,신월5동,
20451,Neighborhood,신월6동,
20452,Neighborhood,신월7동,
20453,Neighborhood,신월동,
20454,Neighborhood,신정1동,
20455,Neighborhood,신정2동,
20456,Neighborhood,신정3동,
20457,Neighborhood,신정4동,
20458,Neighborhood,신정6동,
20459,Neighborhood,신정7동,
20460,Neighborhood,신정동,
20461,Neighborhood,신창동,
20462,Neighborhood,신천동,
20463,Neighborhood,신촌동,
20464,Neighborhood,쌍림동,
20465,Neighborhood,쌍문동,
20466,Neighborhood,쌍문제1동,
20467,Neighborhood,쌍문제2동,
20468,Neighborhood,쌍문제3동,
20469,Neighborhood,쌍문제4동,
20470,Neighborhood,아현동,
20471,Neighborhood,안국동,
20472,Neighborhood,안암동,
20473,Neighborhood,안암동1가,
20474,Neighborhood,안암동2가,
20475,Neighborhood,안암동3가,
20476,Neighborhood,안암동4가,
20477,Neighborhood,안암동5가,
20478,Neighborhood,암사동,
20479,Neighborhood,암사제1동,
20480,Neighborhood,암사제2동,
20481,Neighborhood,암사제3동,
20482,Neighborhood,압구정동,
20483,Neighborhood,약수동,
20484,Neighborhood,양재1동,
20485,Neighborhood,양재2동,
20486,Neighborhood,양재동,
20487,Neighborhood,양평동,
20488,Neighborhood,양평동1가,
20489,Neighborhood,양평동2가,
20490,Neighborhood,양평동3가,
20491,Neighborhood,양평동4가,
20492,Neighborhood,양평동5가,
20493,Neighborhood,양평동6가,
20494,Neighborhood,양평제1동,
20495,Neighborhood,양평제2동,
20496,Neighborhood,양화동,
20497,Neighborhood,여의도동,
20498,Neighborhood,여의동,
20499,Neighborhood,역삼1동,
20500,Neighborhood,역삼2동,
20501,Neighborhood,역삼동,
20502,Neighborhood,역촌동,
20503,Neighborhood,연건동,
20504,Neighborhood,연남동,
20505,Neighborhood,연지동,
20506,Neighborhood,연희동,
20507,Neighborhood,염곡동,
20508,Neighborhood,염리동,
20509,Neighborhood,염창동,
20510,Neighborhood,영등포동,
20511,Neighborhood,영등포동1가,
20512,Neighborhood,영등포동2가,
20513,Neighborhood,영등포동3가,
20514,Neighborhood,영등포동4가,
20515,Neighborhood,영등포동5가,
20516,Neighborhood,영등포동6가,
20517,Neighborhood,영등포동7가,
20518,Neighborhood,영등포동8가,
20519,Neighborhood,영등포본동,
20520,Neighborhood,영천동,
20521,Neighborhood,예관동,
20522,Neighborhood,예장동,
20523,Neighborhood,예지동,
20524,Neighborhood,오곡동,
20525,Neighborhood,오금동,
20526,Neighborhood,오류동,
20527,Neighborhood,오류제1동,
20528,Neighborhood,오류제2동,
20529,Neighborhood,오륜동,
20530,Neighborhood,오쇠동,
20531,Neighborhood,오장동,
20532,Neighborhood,옥수동,
20533,Neighborhood,옥인동,
20534,Neighborhood,옥천동,
20535,Neighborhood,온수동,
20536,Neighborhood,와룡동,
20537,Neighborhood,왕십리도선동,
20538,Neighborhood,왕십리제2동,
20539,Neighborhood,외발산동,
20540,Neighborhood,용강동,
20541,Neighborhood,용답동,
20542,Neighborhood,용두동,
20543,Neighborhood,용문동,
20544,Neighborhood,용산2가동,
20545,Neighborhood,용산동1가,
20546,Neighborhood,용산동2가,
20547,Neighborhood,용산동3가,
20548,Neighborhood,용산동4가,
20549,Neighborhood,용산동5가,
20550,Neighborhood,용산동6가,
20551,Neighborhood,용신동,
20552,Neighborhood,우면동,
20553,Neighborhood,우이동,
20554,Neighborhood,우장산동,
20555,Neighborhood,운니동,
20556,Neighborhood,원남동,
20557,Neighborhood,원서동,
20558,Neighborhood,원지동,
20559,Neighborhood,원효로1가,
20560,Neighborhood,원효로2가,
20561,Neighborhood,원효로3가,
20562,Neighborhood,원효로4가,
20563,Neighborhood,원효로제1동,
20564,Neighborhood,원효로제2동,
20565,Neighborhood,월계1동,
20566,Neighborhood,월계2동,
20567,Neighborhood,월계3동,
20568,Neighborhood,월계동,
20569,Neighborhood,월곡제1동,
20570,Neighborhood,월곡제2동,
20571,Neighborhood,위례동,
20572,Neighborhood,율현동,
20573,Neighborhood,은천동,
20574,Neighborhood,을지로1가,
20575,Neighborhood,을지로2가,
20576,Neighborhood,을지로3가,
20577,Neighborhood,을지로4가,
20578,Neighborhood,을지로5가,
20579,Neighborhood,을지로6가,
20580,Neighborhood,을지로7가,
20581,Neighborhood,을지로동,
20582,Neighborhood,응봉동,
20583,Neighborhood,응암동,
20584,Neighborhood,응암제1동,
20585,Neighborhood,응암제2동,
20586,Neighborhood,응암제3동,
20587,Neighborhood,의주로1가,
20588,Neighborhood,의주로2가,
20589,Neighborhood,이문동,
20590,Neighborhood,이문제1동,
20591,Neighborhood,이문제2동,
20592,Neighborhood,이촌동,
20593,Neighborhood,이촌제1동,
20594,Neighborhood,이촌제2동,
20595,Neighborhood,이태원동,
20596,Neighborhood,이태원제1동,
20597,Neighborhood,이태원제2동,
20598,Neighborhood,이화동,
20599,Neighborhood,익선동,
20600,Neighborhood,인사동,
20601,Neighborhood,인수동,
20602,Neighborhood,인의동,
20603,Neighborhood,인헌동,
20604,Neighborhood,인현동1가,
20605,Neighborhood,인현동2가,
20606,Neighborhood,일원1동,
20607,Neighborhood,일원2동,
20608,Neighborhood,일원동,
20609,Neighborhood,일원본동,
20610,Neighborhood,입정동,
20611,Neighborhood,자곡동,
20612,Neighborhood,자양동,
20613,Neighborhood,자양제1동,
20614,Neighborhood,자양제2동,
20615,Neighborhood,자양제3동,
20616,Neighborhood,자양제4동,
20617,Neighborhood,잠실2동,
20618,Neighborhood,잠실3동,
20619,Neighborhood,잠실4동,
20620,Neighborhood,잠실6동,
20621,Neighborhood,잠실7동,
20622,Neighborhood,잠실동,
20623,Neighborhood,잠실본동,
20624,Neighborhood,잠원동,
20625,Neighborhood,장교동,
20626,Neighborhood,장사동,
20627,Neighborhood,장안동,
20628,Neighborhood,장안제1동,
20629,Neighborhood,장안제2동,
20630,Neighborhood,장위동,
20631,Neighborhood,장위제1동,
20632,Neighborhood,장위제2동,
20633,Neighborhood,장위제3동,
20634,Neighborhood,장지동,
20635,Neighborhood,장충동,
20636,Neighborhood,장충동1가,
20637,Neighborhood,장충동2가,
20638,Neighborhood,재동,
20639,Neighborhood,저동1가,
20640,Neighborhood,저동2가,
20641,Neighborhood,적선동,
20642,Neighborhood,전농동,
20643,Neighborhood,전농제1동,
20644,Neighborhood,전농제2동,
20645,Neighborhood,정동,
20646,Neighborhood,정릉동,
20647,Neighborhood,정릉제1동,
20648,Neighborhood,정릉제2동,
20649,Neighborhood,정릉제3동,
20650,Neighborhood,정릉제4동,
20651,Neighborhood,제기동,
20652,Neighborhood,조원동,
20653,Neighborhood,종로1.2.3.4가동,
20654,Neighborhood,종로1가,
20655,Neighborhood,종로2가,
20656,Neighborhood,종로3가,
20657,Neighborhood,종로4가,
20658,Neighborhood,종로5.6가동,
20659,Neighborhood,종로5가,
20660,Neighborhood,종로6가,
20661,Neighborhood,종암동,
20662,Neighborhood,주교동,
20663,Neighborhood,주성동,
20664,Neighborhood,주자동,
20665,Neighborhood,중계1동,
20666,Neighborhood,중계2.3동,
20667,Neighborhood,중계4동,
20668,Neighborhood,중계동,
20669,Neighborhood,중계본동,
20670,Neighborhood,중곡동,
20671,Neighborhood,중곡제1동,
20672,Neighborhood,중곡제2동,
20673,Neighborhood,중곡제3동,
20674,Neighborhood,중곡제4동,
20675,Neighborhood,중동,
20676,Neighborhood,중림동,
20677,Neighborhood,중앙동,
20678,Neighborhood,중학동,
20679,Neighborhood,중화동,
20680,Neighborhood,중화제1동,
20681,Neighborhood,중화제2동,
20682,Neighborhood,증산동,
20683,Neighborhood,진관동,
20684,Neighborhood,창동,
20685,Neighborhood,창성동,
20686,Neighborhood,창신동,
20687,Neighborhood,창신제1동,
20688,Neighborhood,창신제2동,
20689,Neighborhood,창신제3동,
20690,Neighborhood,창전동,
20691,Neighborhood,창제1동,
20692,Neighborhood,창제2동,
20693,Neighborhood,창제3동,
20694,Neighborhood,창제4동,
20695,Neighborhood,창제5동,
20696,Neighborhood,창천동,
20697,Neighborhood,천연동,
20698,Neighborhood,천왕동,
20699,Neighborhood,천호동,
20700,Neighborhood,천호제1동,
20701,Neighborhood,천호제2동,
20702,Neighborhood,천호제3동,
20703,Neighborhood,청구동,
20704,Neighborhood,청담동,
20705,Neighborhood,청량리동,
20706,Neighborhood,청룡동,
20707,Neighborhood,청림동,
20708,Neighborhood,청암동,
20709,Neighborhood,청운동,
20710,Neighborhood,청운효자동,
20711,Neighborhood,청진동,
20712,Neighborhood,청파동,
20713,Neighborhood,청파동1가,
20714,Neighborhood,청파동2가,
20715,Neighborhood,청파동3가,
20716,Neighborhood,체부동,
20717,Neighborhood,초동,
20718,Neighborhood,충무로1가,
20719,Neighborhood,충무로2가,
20720,Neighborhood,충무로3가,
20721,Neighborhood,충무로4가,
20722,Neighborhood,충무로5가,
20723,Neighborhood,충신동,
20724,Neighborhood,충정로1가,
20725,Neighborhood,충정로2가,
20726,Neighborhood,충정로3가,
20727,Neighborhood,충현동,
20728,Neighborhood,태평로1가,
20729,Neighborhood,태평로2가,
20730,Neighborhood,토정동,
20731,Neighborhood,통의동,
20732,Neighborhood,통인동,
20733,Neighborhood,팔판동,
20734,Neighborhood,평동,
20735,Neighborhood,평창동,
20736,Neighborhood,풍납1동,
20737,Neighborhood,풍납2동,
20738,Neighborhood,풍납동,
20739,Neighborhood,필동,
20740,Neighborhood,필동1가,
20741,Neighborhood,필동2가,
20742,Neighborhood,필동3가,
20743,Neighborhood,필운동,
20744,Neighborhood,하계1동,
20745,Neighborhood,하계2동,
20746,Neighborhood,하계동,
20747,Neighborhood,하왕십리동,
20748,Neighborhood,하월곡동,
20749,Neighborhood,하중동,
20750,Neighborhood,한강로1가,
20751,Neighborhood,한강로2가,
20752,Neighborhood,한강로3가,
20753,Neighborhood,한강로동,
20754,Neighborhood,한남동,
20755,Neighborhood,합동,
20756,Neighborhood,합정동,
20757,Neighborhood,항동,
20758,Neighborhood,행당동,
20759,Neighborhood,행당제1동,
20760,Neighborhood,행당제2동,
20761,Neighborhood,행운동,
20762,Neighborhood,행촌동,
20763,Neighborhood,현석동,
20764,Neighborhood,현저동,
20765,Neighborhood,혜화동,
20766,Neighborhood,홍은동,
20767,Neighborhood,홍은제1동,
20768,Neighborhood,홍은제2동,
20769,Neighborhood,홍익동,
20770,Neighborhood,홍제동,
20771,Neighborhood,홍제제1동,
20772,Neighborhood,홍제제2동,
20773,Neighborhood,홍제제3동,
20774,Neighborhood,홍지동,
20775,Neighborhood,홍파동,
20776,Neighborhood,화곡동,
20777,Neighborhood,화곡본동,
20778,Neighborhood,화곡제1동,
20779,Neighborhood,화곡제2동,
20780,Neighborhood,화곡제3동,
20781,Neighborhood,화곡제4동,
20782,Neighborhood,화곡제6동,
20783,Neighborhood,화곡제8동,
20784,Neighborhood,화동,
20785,Neighborhood,화양동,
20786,Neighborhood,황학동,
20787,Neighborhood,회기동,
20788,Neighborhood,회현동,
20789,Neighborhood,회현동1가,
20790,Neighborhood,회현동2가,
20791,Neighborhood,회현동3가,
20792,Neighborhood,효자동,
20793,Neighborhood,효제동,
20794,Neighborhood,효창동,
20795,Neighborhood,후암동,
20796,Neighborhood,훈정동,
20797,Neighborhood,휘경동,
20798,Neighborhood,휘경제1동,
20799,Neighborhood,휘경제2동,
20800,Neighborhood,흑석동,
20801,Neighborhood,흥인동,
30001,AmenityType,community_center,
30002,AmenityType,police_office,
30003,AmenityType,post_office,
30004,AmenityType,animal_hospital,
30005,AmenityType,drugstore,
30006,AmenityType,hospital,
30007,AmenityType,public_health_center,
30008,AmenityType,tax_office,
30009,AmenityType,convenience_store,
30010,AmenityType,electric_gas_Station,
30011,AmenityType,gas_station,
30012,AmenityType,self_laundromat,
30013,AmenityType,supermarket,
30014,AmenityType,bus,
30015,AmenityType,park_station,
30016,AmenityType,subway,
30017,AmenityType,daycare,
30018,AmenityType,concert_hall,공연장
30019,AmenityType,library,도서관
30020,AmenityType,culture_art_center,문화예술회관
30021,AmenityType,cultural_center,문화원
30022,AmenityType,art_gallery,미술관/갤러리
30023,AmenityType,museum,박물관/기념관
30024,AmenityType,highschool,고등학교
30025,AmenityType,middle_school,중학교
30026,AmenityType,elementary_school,초등학교
30027,AmenityType,university,대학교
30028,AmenityType,technical_college,전문대학교
30029,AmenityType,fitness,
30030,AmenityType,music_room,
30031,AmenityType,pc_room,
30032,AmenityType,theater,
30033,AmenityType,outdoor_sports,
30034,AmenityType,park,
40001,RecType,조용한 힐링형,
40002,RecType,핫플 라이프형,
40003,RecType,가성비 실속형,
40004,RecType,프리미엄 라이프형,
50001,PropertyType1,전세,
50002,PropertyType1,월세,
50003,PropertyType1,매매,
60001,PropertyType2,원룸,
60002,PropertyType2,투룸,
